file,kind,lines,importedBy,anyCount,consoleCount,todoCount,useEffectCount,useMemoCount,useCallbackCount,action,priority,reasons
"src/App.tsx","other","262","1","0","0","0","3","0","0","refactor","low","Moderate-large file (262 lines); Multiple effects (3) with no memoization hooks"
"src/components/admin/AdminDashboard.tsx","component","122","1","0","1","0","1","0","0","keep","low","No major issues by static heuristics"
"src/components/admin/AdminLayout.tsx","component","122","1","0","0","0","0","0","0","keep","low","No major issues by static heuristics"
"src/components/admin/AdminRoute.tsx","component","22","1","0","0","0","0","0","0","keep","low","No major issues by static heuristics"
"src/components/admin/CategoriesManagement.tsx","component","538","1","4","3","0","1","0","0","refactor","medium","Large file (538 lines)"
"src/components/admin/RolesManagement.tsx","component","394","1","1","3","0","1","1","0","refactor","low","Moderate-large file (394 lines)"
"src/components/admin/UsersManagement.tsx","component","517","1","1","5","0","1","1","0","refactor","medium","Large file (517 lines)"
"src/components/chat/ChatList.tsx","component","85","1","0","0","0","0","0","0","keep","low","No major issues by static heuristics"
"src/components/chat/ChatWindow.tsx","component","174","1","0","0","0","2","0","0","keep","low","No major issues by static heuristics"
"src/components/figma/EditProductDialog.tsx","component","382","2","0","0","0","0","0","0","refactor","low","Moderate-large file (382 lines)"
"src/components/figma/Footer.tsx","component","184","1","0","0","0","1","0","0","keep","low","No major issues by static heuristics"
"src/components/figma/Header.tsx","component","407","1","0","0","0","0","0","0","refactor","low","Moderate-large file (407 lines)"
"src/components/figma/ImageWithFallback.tsx","component","121","2","0","0","0","1","0","0","keep","low","No major issues by static heuristics"
"src/components/figma/ProductCard.tsx","component","308","7","0","0","0","0","0","0","refactor","low","Moderate-large file (308 lines)"
"src/components/figma/SellItemDialog.tsx","component","448","2","1","1","0","1","0","0","refactor","low","Moderate-large file (448 lines)"
"src/components/ui/accordion.tsx","component","67","1","0","0","0","0","0","0","keep","low","No major issues by static heuristics"
"src/components/ui/alert-dialog.tsx","component","157","2","0","0","0","0","0","0","keep","low","No major issues by static heuristics"
"src/components/ui/alert.tsx","component","67","1","0","0","0","0","0","0","keep","low","No major issues by static heuristics"
"src/components/ui/avatar.tsx","component","54","4","0","0","0","0","0","0","keep","low","No major issues by static heuristics"
"src/components/ui/badge.tsx","component","47","6","0","0","0","0","0","0","keep","low","No major issues by static heuristics"
"src/components/ui/button.tsx","component","58","24","0","0","0","0","0","0","keep","low","No major issues by static heuristics"
"src/components/ui/card.tsx","component","93","6","0","0","0","0","0","0","keep","low","No major issues by static heuristics"
"src/components/ui/dialog.tsx","component","138","6","0","0","0","0","0","0","keep","low","No major issues by static heuristics"
"src/components/ui/dropdown-menu.tsx","component","258","2","0","0","0","0","0","0","refactor","low","Moderate-large file (258 lines)"
"src/components/ui/error-boundary.tsx","component","83","1","1","1","0","0","0","0","keep","low","No major issues by static heuristics"
"src/components/ui/input.tsx","component","22","11","0","0","0","0","0","0","keep","low","No major issues by static heuristics"
"src/components/ui/label.tsx","component","25","7","0","0","0","0","0","0","keep","low","No major issues by static heuristics"
"src/components/ui/logo.tsx","component","183","7","0","0","0","0","0","0","keep","low","No major issues by static heuristics"
